coverage,set_size,worst_class_cov,ssc,empty_rate,seed,severity,method,cost_ms
0.9141666666666667,0.9483333333333334,0.8866666666666667,0.0,0.08583333333333333,0,0.0,Split CP,0.1289999927394092
0.9133333333333333,0.9466666666666667,0.8866666666666667,0.0,0.08666666666666667,0,0.0,Weighted CP,0.08569999772589654
0.9166666666666666,0.9825,0.9,0.0,0.08166666666666667,0,0.0,Classwise CP,0.34579999919515103
0.8991666666666667,0.9125,0.88,0.0,0.10083333333333333,0,0.0,ACI,11.77659998938907
0.8981481481481481,0.9351851851851852,0.8611111111111112,0.0,0.10185185185185185,0,0.2,Split CP,0.1264000020455569
0.8995726495726496,0.9366096866096866,0.8645833333333334,0.0,0.10042735042735043,0,0.2,Weighted CP,0.08749999688006938
0.8974358974358975,0.957977207977208,0.8611111111111112,0.0,0.10185185185185185,0,0.2,Classwise CP,0.43340001138858497
0.8981481481481481,0.9081196581196581,0.8733333333333333,0.0,0.10185185185185185,0,0.2,ACI,15.628699999069795
0.8930348258706468,0.9129353233830846,0.86,0.0,0.10696517412935323,0,0.4,Split CP,0.13070000568404794
0.8998756218905473,0.9216417910447762,0.8633333333333333,0.0,0.10012437810945274,0,0.4,Weighted CP,0.07999999797903001
0.9029850746268657,0.9477611940298507,0.8452380952380952,0.0,0.09328358208955224,0,0.4,Classwise CP,0.35230000503361225
0.8992537313432836,0.9085820895522388,0.8833333333333333,0.0,0.10074626865671642,0,0.4,ACI,14.755600001080893
0.8945916114790287,0.9089403973509934,0.8784313725490196,0.0,0.1054083885209713,0,0.6,Split CP,0.12129999231547117
0.9017660044150111,0.9216335540838853,0.8823529411764706,0.0,0.09823399558498896,0,0.6,Weighted CP,0.09950000094249845
0.9061810154525386,0.9437086092715232,0.8859649122807017,0.0,0.09105960264900662,0,0.6,Classwise CP,0.3507000074023381
0.8990066225165563,0.9056291390728477,0.8866666666666667,0.0,0.10099337748344371,0,0.6,ACI,19.61999999184627
0.8794044665012407,0.8933002481389578,0.8650793650793651,0.0,0.1205955334987593,0,0.8,Split CP,0.12419999984558672
0.8898263027295286,0.9091811414392059,0.8738095238095238,0.0,0.11017369727047147,0,0.8,Weighted CP,0.08209999941755086
0.8952853598014888,0.9275434243176178,0.8809523809523809,0.0,0.10372208436724566,0,0.8,Classwise CP,0.3620000061346218
0.8992555831265509,0.9032258064516129,0.8733333333333333,0.0,0.10074441687344914,0,0.8,ACI,21.313899997039698
0.8797297297297297,0.8918918918918919,0.8566666666666667,0.0,0.12027027027027028,0,1.0,Split CP,0.11720000475179404
0.8896396396396397,0.9045045045045045,0.8793333333333333,0.0,0.11036036036036036,0,1.0,Weighted CP,0.08320000779349357
0.9063063063063063,0.9301801801801802,0.8708333333333333,0.0,0.09279279279279279,0,1.0,Classwise CP,0.4101000085938722
0.8986486486486487,0.9018018018018018,0.8733333333333333,0.0,0.1009009009009009,0,1.0,ACI,22.92200000374578
0.9066666666666666,0.9241666666666667,0.8666666666666667,0.0,0.09333333333333334,1,0.0,Split CP,0.13220000255387276
0.905,0.9216666666666666,0.8633333333333333,0.0,0.095,1,0.0,Weighted CP,0.12749999586958438
0.8983333333333333,0.9308333333333333,0.88,0.0,0.10083333333333333,1,0.0,Classwise CP,0.3428999916650355
0.9,0.91,0.8933333333333333,0.0,0.1,1,0.0,ACI,12.70999999542255
0.8888888888888888,0.9024216524216524,0.8611111111111112,0.0,0.1111111111111111,1,0.2,Split CP,0.11169999197591096
0.8967236467236467,0.9138176638176638,0.8685185185185185,0.0,0.10327635327635327,1,0.2,Weighted CP,0.0889000075403601
0.8938746438746439,0.9166666666666666,0.8768115942028986,0.0,0.10327635327635327,1,0.2,Classwise CP,0.37680000241380185
0.8995726495726496,0.9074074074074074,0.8854166666666666,0.0,0.10042735042735043,1,0.2,ACI,14.202999998815358
0.878731343283582,0.8917910447761194,0.85,0.0,0.12126865671641791,1,0.4,Split CP,0.1365000061923638
0.8874378109452736,0.9036069651741293,0.8633333333333333,0.0,0.11256218905472637,1,0.4,Weighted CP,0.09620000491850078
0.8818407960199005,0.904228855721393,0.8433333333333334,0.0,0.11753731343283583,1,0.4,Classwise CP,0.41140000394079834
0.8992537313432836,0.9067164179104478,0.89,0.0,0.10074626865671642,1,0.4,ACI,18.873799999710172
0.880242825607064,0.8912803532008831,0.8560606060606061,0.0,0.11975717439293598,1,0.6,Split CP,0.11470000026747584
0.8956953642384106,0.9094922737306843,0.8787878787878788,0.0,0.10430463576158941,1,0.6,Weighted CP,0.0751999905332923
0.8940397350993378,0.9105960264900662,0.8787878787878788,0.0,0.1054083885209713,1,0.6,Classwise CP,0.2739000046858564
0.8995584988962473,0.9061810154525386,0.8766666666666667,0.0,0.10044150110375276,1,0.6,ACI,16.82200000504963
0.8759305210918115,0.884863523573201,0.8611111111111112,0.0,0.12406947890818859,1,0.8,Split CP,0.13189998571760952
0.8878411910669975,0.9012406947890819,0.8706349206349207,0.0,0.11215880893300248,1,0.8,Weighted CP,0.09780000254977494
0.8893300248138958,0.9062034739454095,0.8766666666666667,0.0,0.11066997518610422,1,0.8,Classwise CP,0.33229999826289713
0.8987593052109181,0.9022332506203474,0.8866666666666667,0.0,0.10124069478908189,1,0.8,ACI,20.734199992148206
0.8639639639639639,0.8702702702702703,0.852,0.0,0.13603603603603603,1,1.0,Split CP,0.11229999654460698
0.8833333333333333,0.8923423423423423,0.8713333333333333,0.0,0.11666666666666667,1,1.0,Weighted CP,0.1213000068673864
0.8806306306306306,0.890990990990991,0.88,0.0,0.11936936936936937,1,1.0,Classwise CP,0.46269998711068183
0.8995495495495496,0.9049549549549549,0.8866666666666667,0.0,0.10045045045045045,1,1.0,ACI,22.124399998574518
0.8933333333333333,1.0275,0.8466666666666667,0.0,0.105,2,0.0,Split CP,0.14089999604038894
0.8933333333333333,1.0275,0.8466666666666667,0.0,0.105,2,0.0,Weighted CP,0.10010000551119447
0.9083333333333333,1.1166666666666667,0.8966666666666666,0.0,0.07666666666666666,2,0.0,Classwise CP,0.3892999957315624
0.905,0.9866666666666667,0.8933333333333333,0.0,0.085,2,0.0,ACI,15.10579999012407
0.8896011396011396,1.0847578347578348,0.8115942028985508,0.0,0.10683760683760683,2,0.2,Split CP,0.11309998808428645
0.8703703703703703,1.0455840455840455,0.7862318840579711,0.0,0.12535612535612536,2,0.2,Weighted CP,0.152900000102818
0.8903133903133903,1.2022792022792024,0.8766666666666667,0.0,0.08903133903133903,2,0.2,Classwise CP,0.40780000563245267
0.9038461538461539,1.0156695156695157,0.8958333333333334,0.0,0.08547008547008547,2,0.2,ACI,16.482100007124245
0.9191542288557214,1.175995024875622,0.8134920634920635,0.0,0.07649253731343283,2,0.4,Split CP,0.10320000001229346
