coverage,set_size,worst_class_cov,ssc,empty_rate,seed,severity,method,cost_ms
0.9158333333333334,0.9508333333333333,0.89,0.0,0.08416666666666667,0,0.0,Split CP,0.6062999891582876
0.9141666666666667,0.9483333333333334,0.89,0.0,0.08583333333333333,0,0.0,Weighted CP,0.8373000018764287
0.9033333333333333,0.9633333333333334,0.8666666666666667,0.0,0.09166666666666666,0,0.0,Classwise CP,0.36290001298766583
0.9008333333333334,0.9158333333333334,0.88,0.0,0.09916666666666667,0,0.0,ACI,13.371699998970143
0.6725,0.91,0.05333333333333334,0.0,0.10333333333333333,0,0.2,Split CP,0.10900000052060932
0.6783333333333333,0.9166666666666666,0.05333333333333334,0.0,0.09666666666666666,0,0.2,Weighted CP,0.08949999755714089
0.6766666666666666,0.9191666666666667,0.0,0.0,0.08083333333333333,0,0.2,Classwise CP,0.47899999481160194
0.8991666666666667,1.6133333333333333,0.77,0.0,0.043333333333333335,0,0.2,ACI,8.193100002245046
0.6866666666666666,0.9191666666666667,0.0,0.0,0.0875,0,0.4,Split CP,0.1281000004382804
0.6916666666666667,0.9308333333333333,0.0,0.0,0.08,0,0.4,Weighted CP,0.09159999899566174
0.6975,0.9675,0.0,0.0,0.0675,0,0.4,Classwise CP,0.3817000106209889
0.7483333333333333,1.7083333333333333,0.0,0.0,0.0025,0,0.4,ACI,12.94620000408031
0.685,1.5383333333333333,0.0,0.0,0.03333333333333333,0,0.6,Split CP,0.0957000011112541
0.6983333333333334,1.5733333333333333,0.0,0.0,0.02666666666666667,0,0.6,Weighted CP,0.0644999963697046
0.6991666666666667,1.5791666666666666,0.0,0.0,0.019166666666666665,0,0.6,Classwise CP,0.2649000089149922
0.7475,2.180833333333333,0.0,0.5604606525911708,0.0025,0,0.6,ACI,9.930999993230216
0.21833333333333332,1.3466666666666667,0.0,0.0,0.050833333333333335,0,0.8,Split CP,0.11190000805072486
0.22916666666666666,1.3908333333333334,0.0,0.0,0.04083333333333333,0,0.8,Weighted CP,0.08460000390186906
0.23083333333333333,1.3808333333333334,0.0,0.0,0.03166666666666667,0,0.8,Classwise CP,0.36330000148154795
0.6375,2.1108333333333333,0.0,0.4786821705426357,0.005833333333333334,0,0.8,ACI,13.249800002085976
0.21333333333333335,0.885,0.0,0.0,0.115,0,1.0,Split CP,0.16799999866634607
0.215,0.895,0.0,0.0,0.105,0,1.0,Weighted CP,0.11579999409150332
0.22416666666666665,0.9266666666666666,0.0,0.0,0.07333333333333333,0,1.0,Classwise CP,0.5067000020062551
0.24583333333333332,1.2583333333333333,0.0,0.0,0.008333333333333333,0,1.0,ACI,12.610799996764399
0.8975,0.92,0.8533333333333334,0.0,0.1025,1,0.0,Split CP,0.10459999612066895
0.8975,0.92,0.8533333333333334,0.0,0.1025,1,0.0,Weighted CP,0.10350000229664147
0.8941666666666667,0.9291666666666667,0.8766666666666667,0.0,0.10583333333333333,1,0.0,Classwise CP,0.32389999250881374
0.9,0.9091666666666667,0.88,0.0,0.1,1,0.0,ACI,12.507599996752106
0.655,0.8908333333333334,0.043333333333333335,0.0,0.12,1,0.2,Split CP,0.10420000762678683
0.6491666666666667,0.8833333333333333,0.03333333333333333,0.0,0.125,1,0.2,Weighted CP,0.08680000610183924
0.6675,0.9075,0.01,0.0,0.095,1,0.2,Classwise CP,0.3628999984357506
0.8991666666666667,1.5791666666666666,0.82,0.0,0.056666666666666664,1,0.2,ACI,12.425900000380352
